filename,modality,channel,emotion,intensity,statement,repetition,actor_id,gender,filepath,file_size_kb,canonical_label,split
01-01-01-01-01-01-01.mp4,full_AV,speech,neutral,normal,1,1,1,male,data\raw\ravdess\Actor_01\01-01-01-01-01-01-01.mp4,3366.9,neutral,train
01-01-01-01-01-02-01.mp4,full_AV,speech,neutral,normal,1,2,1,male,data\raw\ravdess\Actor_01\01-01-01-01-01-02-01.mp4,3482.8,neutral,train
01-01-01-01-02-01-01.mp4,full_AV,speech,neutral,normal,2,1,1,male,data\raw\ravdess\Actor_01\01-01-01-01-02-01-01.mp4,4070.0,neutral,train
01-01-01-01-02-02-01.mp4,full_AV,speech,neutral,normal,2,2,1,male,data\raw\ravdess\Actor_01\01-01-01-01-02-02-01.mp4,3958.1,neutral,train
01-01-03-01-01-01-01.mp4,full_AV,speech,happy,normal,1,1,1,male,data\raw\ravdess\Actor_01\01-01-03-01-01-01-01.mp4,4310.4,happy,train
01-01-03-01-01-02-01.mp4,full_AV,speech,happy,normal,1,2,1,male,data\raw\ravdess\Actor_01\01-01-03-01-01-02-01.mp4,4309.8,happy,train
01-01-03-01-02-01-01.mp4,full_AV,speech,happy,normal,2,1,1,male,data\raw\ravdess\Actor_01\01-01-03-01-02-01-01.mp4,4383.5,happy,train
01-01-03-01-02-02-01.mp4,full_AV,speech,happy,normal,2,2,1,male,data\raw\ravdess\Actor_01\01-01-03-01-02-02-01.mp4,4591.3,happy,train
01-01-03-02-01-01-01.mp4,full_AV,speech,happy,strong,1,1,1,male,data\raw\ravdess\Actor_01\01-01-03-02-01-01-01.mp4,4555.7,happy,train
01-01-03-02-01-02-01.mp4,full_AV,speech,happy,strong,1,2,1,male,data\raw\ravdess\Actor_01\01-01-03-02-01-02-01.mp4,4504.0,happy,train
01-01-03-02-02-01-01.mp4,full_AV,speech,happy,strong,2,1,1,male,data\raw\ravdess\Actor_01\01-01-03-02-02-01-01.mp4,4921.6,happy,train
01-01-03-02-02-02-01.mp4,full_AV,speech,happy,strong,2,2,1,male,data\raw\ravdess\Actor_01\01-01-03-02-02-02-01.mp4,4916.5,happy,train
01-01-04-01-01-01-01.mp4,full_AV,speech,sad,normal,1,1,1,male,data\raw\ravdess\Actor_01\01-01-04-01-01-01-01.mp4,4747.7,sad,train
01-01-04-01-01-02-01.mp4,full_AV,speech,sad,normal,1,2,1,male,data\raw\ravdess\Actor_01\01-01-04-01-01-02-01.mp4,4436.1,sad,train
01-01-04-01-02-01-01.mp4,full_AV,speech,sad,normal,2,1,1,male,data\raw\ravdess\Actor_01\01-01-04-01-02-01-01.mp4,4231.7,sad,train
01-01-04-01-02-02-01.mp4,full_AV,speech,sad,normal,2,2,1,male,data\raw\ravdess\Actor_01\01-01-04-01-02-02-01.mp4,4189.4,sad,train
01-01-04-02-01-01-01.mp4,full_AV,speech,sad,strong,1,1,1,male,data\raw\ravdess\Actor_01\01-01-04-02-01-01-01.mp4,4713.0,sad,train
