filename,actor_id,canonical_label,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,split
01-01-01-01-01-01-01.mp4,1,neutral,-695.46405,51.277267,3.4959543,10.5480795,9.445853,-1.7213097,-1.4011729,-4.648348,-10.166346,-3.6840081,1.5287066,-3.6242194,2.1852374,14.420003,7.3459272,2.9169924,3.4332132,3.8463454,2.7750432,1.9686656,2.0529535,1.4911201,1.450362,1.8859288,1.7355976,1.7798054,7.0550904,4.6028924,2.3999708,1.8277696,2.0168371,2.0073977,1.1678298,1.0772874,1.3391049,0.9736074,0.96688145,1.0517507,1.0509816,train
01-01-01-01-01-02-01.mp4,1,neutral,-685.8866,51.59141,1.372112,13.090638,10.876092,-2.5067084,0.14236458,-7.1418643,-10.422385,-2.7607095,1.3754921,-3.6614313,1.310041,14.0933075,5.964716,3.4498317,2.9788172,3.853072,2.4392087,2.1056705,1.8602437,1.5718826,1.5621191,1.8933138,1.6837844,1.7022339,7.873848,3.8962288,2.707157,1.7406789,2.0250661,1.6521112,1.1139135,1.0172257,1.3926103,0.9305404,0.9890896,0.9182142,1.0259984,train
01-01-01-01-02-01-01.mp4,1,neutral,-687.26794,54.285362,3.1964254,10.43269,7.5239043,-0.8576075,-0.7351946,-6.404692,-9.695682,-4.3449817,0.6676224,-3.219572,1.784543,16.641531,8.4777565,4.0030975,2.7829323,2.8129768,3.1371722,1.8093646,1.8928839,1.8482116,1.5736023,1.9036562,1.5390239,1.8913411,6.635413,3.6052985,2.5435555,1.370443,1.5278904,1.7440724,0.9656567,1.1211613,1.1557131,0.8620483,1.0940894,0.7506404,0.8164934,train
01-01-01-01-02-02-01.mp4,1,neutral,-684.9224,52.994617,5.767175,10.6027775,9.160927,1.0163286,-0.009276258,-8.145006,-9.442022,-4.0558233,1.7726253,-2.1037865,1.2465949,17.408375,7.8539877,3.9772382,3.1376595,2.649137,2.8391802,1.5629048,2.1624682,1.8787466,1.6350789,1.5200373,1.5298246,1.3824927,7.2934136,3.8080673,2.669703,1.6923679,1.4145987,1.6322943,0.9638993,1.4735473,1.2543784,0.9789696,0.92617065,1.0308167,0.82776344,train
01-01-03-01-01-01-01.mp4,1,happy,-644.3491,58.773777,-0.3015037,8.742881,7.1370826,-5.6399074,-3.9900117,-8.033492,-10.991421,-3.0513887,-1.269846,-7.095093,1.2004547,14.698078,6.787261,4.0206275,3.6468048,4.1762414,3.0960095,1.97704,2.2677078,1.8405691,1.785573,1.954359,1.7521077,1.4720732,7.228328,4.4404206,2.7040768,1.7800796,2.044316,2.0324259,0.87842226,1.1835456,1.2242656,1.0648922,1.0621134,1.123657,0.9286355,train
01-01-03-01-01-02-01.mp4,1,happy,-628.44904,59.156113,-2.2925613,12.216557,9.351821,-3.8661165,-4.839715,-6.1054974,-12.660729,-2.0112426,0.8047019,-6.894781,4.0458493,15.468503,6.599138,4.6791244,3.6462007,3.5179715,3.3243647,2.335547,2.0634248,2.0579712,1.9182,1.6890614,1.9262121,2.0767984,7.0969744,4.1818466,3.293127,1.7797986,1.6052953,2.1913455,1.0111492,1.0762023,1.5432268,1.034716,0.95590246,1.1378663,1.2009641,train
01-01-03-01-02-01-01.mp4,1,happy,-651.6763,57.098064,1.8550252,8.693407,4.9048624,-2.7463484,-4.2585645,-8.050727,-13.639591,-3.2863643,1.7979784,-6.5687056,1.4784487,15.612626,8.0305395,4.455063,3.1903765,3.3182583,3.7564666,2.2264295,2.7186258,2.430567,1.9058357,1.7899611,1.6668686,1.5966172,7.3964605,4.855281,2.8164134,1.6107652,1.5949367,2.055733,1.1177922,1.5341109,1.620146,1.1006646,0.9196674,1.2069044,0.92479134,train
01-01-03-01-02-02-01.mp4,1,happy,-648.6813,51.63144,5.6708274,13.716466,6.2313066,-2.056789,-0.874375,-7.2309875,-13.32001,-3.4444015,0.026607275,-4.2077403,1.9447911,16.051687,10.391508,3.7159476,4.076399,4.0946264,3.9163315,2.384721,2.6322246,2.7689404,2.134142,1.9717113,2.0545647,1.4526469,7.3850493,5.82901,2.3783567,2.455578,2.0434,2.0543025,1.2650961,1.4423329,1.8353571,1.1670433,0.94437575,1.3425076,0.98555994,train
01-01-03-02-01-01-01.mp4,1,happy,-596.36456,46.535034,-3.1588259,3.2251575,1.0809121,-2.9604537,-10.409242,-10.043461,-9.973624,-9.853584,0.17790683,-7.843138,-1.0815226,14.875648,7.0572095,4.0705814,3.599497,4.6689963,3.1952178,3.2883258,2.0214894,1.7467964,1.8464744,1.8114709,1.9571677,1.5640943,6.9650817,4.380579,3.1042073,1.8837647,2.2112436,1.804267,1.4946464,1.0350244,1.1721418,0.8688228,0.97650236,1.1787406,0.98072237,train
01-01-03-02-01-02-01.mp4,1,happy,-557.5033,52.051952,-8.919183,3.033589,4.554524,-3.7561295,-9.441126,-8.917577,-13.453094,-8.324049,3.9725602,-8.600835,-0.9264434,14.892972,6.17521,4.444086,3.2064724,4.37293,2.5766084,2.6171796,2.6342497,1.9814649,2.325623,2.0453348,2.0308459,1.4617944,6.752422,3.7805462,3.1206334,1.6932304,1.895394,1.6435062,1.1550472,1.4315606,0.9558963,1.1954589,1.0381204,1.0217977,0.90518326,train
01-01-03-02-02-01-01.mp4,1,happy,-515.3096,44.01555,-6.176956,4.2006316,3.0492582,-4.883656,-8.296536,-10.927986,-16.491863,-6.0390215,1.0679114,-10.059298,1.0765473,15.316369,9.668111,4.859647,3.9342728,4.021543,4.016128,2.3083375,2.6678352,2.8069658,1.9314444,2.0370727,1.9705925,1.7956306,7.751681,4.9182386,2.93492,2.110913,1.8610036,1.8909229,1.2767847,1.5227909,1.6191845,1.028835,1.1698086,1.1907471,1.0904329,train
01-01-03-02-02-02-01.mp4,1,happy,-535.0589,45.422256,-5.0041976,3.251508,2.2759094,-6.174569,-7.416728,-11.456901,-15.414976,-8.681278,-0.28466707,-8.378123,0.9885722,16.123652,9.714408,4.684626,3.977952,4.3863072,3.808287,2.2754085,2.8770492,2.602279,1.9150219,1.7090608,2.045162,1.9955372,8.185208,5.1203656,2.7549424,2.3067095,1.9207493,1.8607686,1.2691245,1.6272475,1.6159068,1.0903885,1.0034513,1.3136828,1.375,train
01-01-04-01-01-01-01.mp4,1,sad,-677.7745,55.97806,2.0706763,10.543235,9.7670765,-5.151879,-1.1161329,-9.613278,-10.450356,-4.6846676,-4.1840343,-1.7710289,-0.5478589,14.205435,7.8814464,4.1912284,3.4295805,3.9479182,2.9343228,2.2474227,1.6982836,2.5789146,1.7036963,1.4079763,2.0050275,1.9915789,6.238413,4.767669,2.6274276,2.0141356,1.8462169,1.822534,1.2046602,0.9247199,1.6288618,1.0091777,0.8426703,1.1057686,1.2212045,train
01-01-04-01-01-02-01.mp4,1,sad,-698.8595,62.906376,1.4609088,13.897572,10.207491,-2.324034,1.2977654,-8.821517,-9.738643,-6.28597,-1.0839646,-2.505744,-1.3293564,12.752266,8.282984,5.0664697,3.388006,3.5747504,3.132738,2.0601661,2.0988913,1.4276502,1.3897897,1.8853267,1.6188874,1.3253226,5.780944,5.147607,3.5198996,1.4374938,1.7992247,1.9011363,1.1748571,1.2090209,1.2710938,0.93051976,1.1180222,0.86015105,0.8032614,train
01-01-04-01-02-01-01.mp4,1,sad,-733.72437,57.02383,-0.87279546,11.249968,8.247096,-3.4138591,-0.9226802,-8.319827,-10.650979,-4.1481376,-0.9284649,-1.6464,-0.9087309,16.726595,8.560826,4.311289,3.009995,2.6189637,3.1363716,1.6653514,2.1393733,2.05891,1.9536386,1.5749735,1.2857581,1.5619061,6.6885896,4.062557,2.6584432,1.4725175,1.3073567,1.6904466,0.89900345,1.2586128,1.2027833,1.098122,0.8603898,0.71055514,0.8545151,train
01-01-04-01-02-02-01.mp4,1,sad,-708.6868,55.838707,3.6597035,12.475324,8.139344,-2.4088855,2.4445238,-8.544682,-11.642494,-4.354612,-2.2999647,-2.8073325,-0.029426575,16.87154,9.301241,4.531352,3.115349,2.4272435,3.108499,1.7341729,2.1334648,2.846321,1.7005714,1.6437631,1.4527014,1.3898062,7.869354,5.5113,3.0524952,1.4916785,1.5510713,1.6284751,1.0511345,1.3495729,1.7447312,1.0680674,0.9538289,0.78490466,0.86555296,train
