filename,modality,channel,emotion,intensity,statement,repetition,actor_id,gender,filepath,file_size_kb
01-01-01-01-01-01-01.mp4,full_AV,speech,neutral,normal,01,01,1,male,data\raw\ravdess\Actor_01\01-01-01-01-01-01-01.mp4,3366.9
01-01-01-01-01-02-01.mp4,full_AV,speech,neutral,normal,01,02,1,male,data\raw\ravdess\Actor_01\01-01-01-01-01-02-01.mp4,3482.8
01-01-01-01-02-01-01.mp4,full_AV,speech,neutral,normal,02,01,1,male,data\raw\ravdess\Actor_01\01-01-01-01-02-01-01.mp4,4070.0
01-01-01-01-02-02-01.mp4,full_AV,speech,neutral,normal,02,02,1,male,data\raw\ravdess\Actor_01\01-01-01-01-02-02-01.mp4,3958.1
01-01-02-01-01-01-01.mp4,full_AV,speech,calm,normal,01,01,1,male,data\raw\ravdess\Actor_01\01-01-02-01-01-01-01.mp4,4383.3
01-01-02-01-01-02-01.mp4,full_AV,speech,calm,normal,01,02,1,male,data\raw\ravdess\Actor_01\01-01-02-01-01-02-01.mp4,4464.5
01-01-02-01-02-01-01.mp4,full_AV,speech,calm,normal,02,01,1,male,data\raw\ravdess\Actor_01\01-01-02-01-02-01-01.mp4,4346.5
01-01-02-01-02-02-01.mp4,full_AV,speech,calm,normal,02,02,1,male,data\raw\ravdess\Actor_01\01-01-02-01-02-02-01.mp4,4305.0
01-01-02-02-01-01-01.mp4,full_AV,speech,calm,strong,01,01,1,male,data\raw\ravdess\Actor_01\01-01-02-02-01-01-01.mp4,4589.8
01-01-02-02-01-02-01.mp4,full_AV,speech,calm,strong,01,02,1,male,data\raw\ravdess\Actor_01\01-01-02-02-01-02-01.mp4,5001.7
01-01-02-02-02-01-01.mp4,full_AV,speech,calm,strong,02,01,1,male,data\raw\ravdess\Actor_01\01-01-02-02-02-01-01.mp4,5229.2
01-01-02-02-02-02-01.mp4,full_AV,speech,calm,strong,02,02,1,male,data\raw\ravdess\Actor_01\01-01-02-02-02-02-01.mp4,5001.3
01-01-03-01-01-01-01.mp4,full_AV,speech,happy,normal,01,01,1,male,data\raw\ravdess\Actor_01\01-01-03-01-01-01-01.mp4,4310.4
01-01-03-01-01-02-01.mp4,full_AV,speech,happy,normal,01,02,1,male,data\raw\ravdess\Actor_01\01-01-03-01-01-02-01.mp4,4309.8
01-01-03-01-02-01-01.mp4,full_AV,speech,happy,normal,02,01,1,male,data\raw\ravdess\Actor_01\01-01-03-01-02-01-01.mp4,4383.5
01-01-03-01-02-02-01.mp4,full_AV,speech,happy,normal,02,02,1,male,data\raw\ravdess\Actor_01\01-01-03-01-02-02-01.mp4,4591.3
